Prompt,Source,Source Sub-category ,Year,Maturity,Tag,Description,,Transcript
Optimization of High Voltage Cables for Electrified Propulsion,TTT,Green Aviation Solicitation,2023,,,"Title: Optimization of High Voltage Cables for Electrified Propulsion 
Development and implementation of electrified propulsion systems are a key component to achieving the green aviation targets laid out in the ARMD Strategic Implementation Plan. Electrified propulsion requires achieving high energy densities, either through improved energy storage technologies or reduced weight of aircraft components. Regarding the latter, electrified propulsion is expected to lead to an increase in the required electrical wiring. Therefore, developing lightweight, high voltage, i.e., for high power, cables is desirable. Cables consist of an inner electrical conductor surrounded by insulating material.  Both conductor and insulation materials require optimization.  Here we focus on the inner conductor.  Recently, a study from Glenn Research Center by Almansour et al. [1] investigated the possibility of replacing pure copper (Cu) conductors with Cu-coated carbon nanotube (CNT) composites. They found, through a trial-and-error process of testing different fabrication techniques and composite compositions, that it was possible to increase electrical conductivity by 4.8% compared to traditional Cu cables. As a result, these Cu/CNT composite cables, able to deliver the same amount of power as state-of-the-art Cu cables, offered a 13.5% weight reduction. Despite this success, the properties of different Cu/CNT samples were inconsistent due to difficulty in achieving a uniform Cu coating on the CNTs (Figure 1). Nonuniform Cu coatings also made the cables more susceptible to failure when placed under stress. A better understanding of the basic Cu deposition processes underlying Cu/CNT fabrication would undoubtedly help to optimize the process and produce cables with consistently improved properties. Using physics-based modeling, this work aims to provide strategies for how uniform Cu coatings can be deposited onto CNTs. Optimized Cu/CNT fabrication should be able to produce cables with >20% weight reduction compared to state-of-the-art Cu cables.

We plan to use molecular dynamics (MD) simulations to study how Cu atoms attach to the Cu-CNT interfaces. MD simulations are a technique which allows for the tracking of the motion of individual atoms in a system using a parametrized interatomic potential (force field) model. Cu deposition is an atomic scale process which is well-suited to study with this technique. MD simulations have been utilized extensively to study the mechanical behavior of composites composed of Cu and different carbon allotropes [2,3] as well as the growth of graphene on Cu surfaces (Figure 2) [4,5]. Therefore, there are several existing interatomic potential models which can be utilized to perform new MD simulations of the Cu coating process. The atomic scale resolution of MD simulations will provide insights into the fabrication of Cu/CNT composites previously inaccessible to experimental techniques. 

We expect that the curvature resulting from the CNT radius will affect Cu deposition. Therefore, an initial series of MD simulations will be performed with a flat sheet of graphene (an unrolled CNT) to serve as a comparison and testbed for different simulation conditions. The Cu deposition will be performed at several different rates and temperatures to determine how this affects formation of the Cu layer. Deposition parameters favoring the formation of a uniform Cu coating will be carried over into subsequent simulations. Additionally, graphene, and as a result CNTs, are known to possess several structural defects [6], including vacancies, adatoms, and dislocations, which could serve as preferential sites for Cu attachment. Deposition simulations of Cu in the presence of structural defects will indicate if such “nucleation sites” favor the formation of nonuniform coatings and would thereby be detrimental to Cu/CNT composite fabrication. 

The second series of simulations will focus directly on CNTs. Depending on how the carbon atoms are connected, CNTs can have two different conformations (“armchair” and “zigzag”) in addition to having variable radii. Indeed, in the study done by Almansour et al. [1] the CNTs were not characterized – effectively random CNT characteristics could have contributed to the inconsistency in Cu/CNT composite properties. Therefore, MD simulations will be performed to deposit Cu atoms on CNTs of varying characteristics and elucidate how this may impact the quality of the resulting Cu coating. These MD simulations will provide strategic insight into how the Cu deposition process can be tuned to produce Cu/CNT composites with a desirable uniform Cu coating. This will enable dramatically more consistent fabrication of Cu/CNT cables which offer significant weight savings over existing Cu cables for application in electrified propulsion systems. 

",,
Integration of hydrogen fuel tanks in aircraft design - volume study,TTT,Green Aviation Solicitation,2023,,,"Title: Integration of hydrogen fuel tanks in aircraft design - volume study 
The objective of the study is to review the vehicle configuration and structural design issues related to the integration of fuel tanks for storage of liquid or gaseous hydrogen into novel forms of aircraft design. The motivation for this study is that efficient hydrogen storage is a key enabling technology for the advancement of sustainable aviation applications, including hydrogen-powered conventional aviation concepts as well as the design of revolutionary environmentally friendly vehicles.  

Compared to jet fuel, hydrogen has a gravimetric density that is 2.8 times higher than jet fuel. However, even in a liquid state (LH2), hydrogen has a 4.1 times lower volumetric density than jet fuel. Taken together, this this means LH2 requires larger tanks that must be maintained at cryogenic temperatures, even though hydrogen has 2.8 times more energy per kilogram than jet fuel. Compared to liquid hydrogen, gaseous hydrogen (GH2) needs to be compressed and, for conventional tanks, the operating pressure is typically not higher than 700 bar. Even at this high pressure and room temperature, the gas density is 1.8 times less than liquid hydrogen, which means less hydrogen for a given tank size. Larger tanks would be needed to store the same amount of hydrogen as liquid hydrogen tanks. For the current gaseous hydrogen tanks, pressurized to 700 bars, the tank volume to store the same amount of energy would be 7.5 times that of the JP-7 fuel tank.  

Therefore, three problems related to tank design and integration into overall vehicle design are: tank volume, to which tank structural mass is related, and tank materials which are related to decrease of structural mass. Hydrogen tanks have larger volumes because of lower values of liquid or gaseous hydrogen volumetric energy densities than conventional aircraft fuel. The extremely high operation pressure of gaseous hydrogen, which would equal 2,000 bar to pack the same energy as LH2 in the same volume, results in unacceptable structural mass with traditional materials. The technology readiness levels for the expected nano materials are not high enough to consider them in the tank design in the foreseeable future. 

 

",,
Initial Study of Airspace Operational Impacts of Airline Contrail Mitigation Actions,TTT,Green Aviation Solicitation,2023,,,"Title: Initial Study of Airspace Operational Impacts of Airline Contrail Mitigation Actions  
The aviation community is actively tackling a potentially significant contributor to global climate change: persistent contrails formed from aviation operations. The Contrail Impact Task Force—which includes most major U.S.-based airlines (e.g., American, Alaska, Delta, JetBlue, Southwest, United, UPS), several international carriers, NASA, Boeing, Airbus, GE, Google, Breakthrough Energy, academia, and other research organizations—is concerned that airspace operations could be a potential barrier to performing contrail avoidance actions as part of routine flight operations. 

There is a need to perform an initial analysis of whether such a potential barrier exists and, if so, the scope of the challenge. This analysis requires an independent, trusted source that has credibility with airspace and air traffic modeling, which NASA has and can provide. The initial results would have broad visibility in the aviation community and can help air carriers plan upcoming flight trials and incorporate contrail formation avoidance actions into accepted operational flight plans. 

The first part of the proposed effort is to calculate ATC-related metrics (e.g., sector counts, proximity events) across the NAS utilizing existing simulation data collected during a prior study commissioned by the ARMD Portfolio Analysis and Management Office (PAMO). The NAS-wide analysis proposed here—1) identify specific “hotspot” areas of the NAS that require deeper dive analysis; 2) uncover airspace complexities of contrail formation avoidance that may require additional algorithm development; and 3) raise additional questions for follow-on research—has not been conducted previously. Prior analysis of four sectors in Kansas City Center found that contrail avoidance actions would not lead to an increase in sector counts above capacity.1-2 However, the researchers did not extend this analysis to the entire NAS in follow-on studies. Instead, they focused on 1) refining their environmental impact models of contrails; and 2) comparing contrail formation avoidance strategies in terms of the tradeoff in fuel burn and delay. 

The second part of the proposed effort is to receive and incorporate into NAS-wide simulations flight plan data from a major airline that includes 1) realistic business preferences; and 2) vertical and lateral flight plans, with and without changes for contrail avoidance (e.g., American Airlines (AA); potentially leveraging an existing Space Act Agreement (SAA)). This would be unprecedented research that the aviation community could utilize to shape the future approach for routine operationalization of contrail avoidance. 

The first part of the proposed effort will be documented in an interim report and presented to NASA, the Contrail Impact Task Force, and other stakeholders. The second part of the proposed effort will be added to the interim report to produce a final report that will also be presented to stakeholders and published. The final report will also document a validation of the contrail formation model utilized in the proposed effort that will include comparing model outputs to satellite images. 

",,
Sustainable bio-aerogels for direct air carbon capture and storage,TTT,Green Aviation Solicitation,2023,,,"Title: Sustainable bio-aerogels for direct air carbon capture and storage (to address climate change)
As outlined in the US 2021 Aviation Climate Action Plan, the aviation industry has an ambition to achieve net-zero carbon emissions by 2050 [1]. For this purpose, governments and aircraft manufacturers are developing and pursuing action plans and technologies such as developing more efficient aircraft (e.g., hybrid and electric aircraft) and using low-carbon alternative fuels (e.g., biofuels) to reduce the aviation carbon footprint [2]. However, these efforts are not enough for the industry to meet its carbon reduction goals as the global demand for air travel is rising. Therefore, complementary solutions are needed to offer a safe, affordable, and scalable pathway for aviation emission reduction.  

Recently, Direct Air Carbon Capture and Storage (DACCS) based technology was proposed by the major industry players as a complementary plan to capture the residual emissions remaining from aircraft directly from the air and later store them underground [3]. Although these proposed ground facilities can potentially capture tons of carbon directly from the air, they require so much energy to capture carbon dioxide, purify it, and transport it underground for permanent storage which make them not an affordable and scalable way to sequester carbon [4].  

In this proposal, an alternative approach for capturing carbon dioxide directly from air will be investigated by developing novel sustainable bio-based aerogels. Bio-aerogels are low-density materials with high open-porosity and high specific surface area that are made from biodegradable polymer precursors such as proteins, starch, sugar cane and vegetable oils. Recent developments have shown these materials are excellent for various applications like environmental remediation [5]. The NASA GRC Polymer Aerogel Team has recently considered a new chemistry for the synthesis of bio-based aerogels that can be potentially utilized for carbon dioxide adsorption, and storage. These materials can be chemically functionalized using specific moieties such as organic amines to adsorb carbon dioxide directly from air into their nanoporous structures under ambient conditions. The significance of using bio-aerogels for environmental remediation applications in comparison with traditional polymer aerogels is in their ability to decompose into natural substances in a short period of time which is increasingly important for a sustainable future. In addition to this added benefit, the bio-aerogel still retains typical aerogel properties such as lightweight, low density, low thermal conductivity, acoustic impedance, and structural integrity from cryogenic temperatures to 500 °C. 

The utilization of bio-aerogels with carbon dioxide adhesion capability in Direct Air Carbon Capture and Storage (DACCS) based technologies can significantly reduce the overall cost of these systems: 1) it will create a more environmentally-friendly process and be more attractive to industry as the bio-aerogels will be used for the carbon dioxide capture without any purification need, 2) these materials will also act as natural filter with high storage capacity due to their high porosity (>95%) and high internal surface area (800m2/g), and 3) due to their sustainability and biocompatibility, they can be directly stored underground without any environmental concern.",,
Eco-Friendly Thermal Management Solutions to Enable Green Aviation,TTT,Green Aviation Solicitation,2023,,,"Title: Eco-Friendly Thermal Management Solutions to Enable Green Aviation 

The aviation industry is a rapidly growing sector with an increasing environmental impact. At just a fraction of the global production, Airbus’s fleet forecast alone projects a 4.1% compounding annual growth rate and over 40,000 new aircraft and freighters to be required over the next 20 years [1]. Consequently, meeting both net zero emissions and sustainability goals requires next generation aircraft to incorporate reusability and recyclability of materials in their design criteria, creating a closed-loop lifecycle, while simultaneously providing performance gains for improved efficiency. 

By leveraging eco-friendly thermal management solutions, aircraft, in particular electrified and hybrid aircraft, and urban air mobility (UAM) systems can benefit from reduced operating temperatures with enhanced efficiency while also taking advantage of material recyclability for reuse in a sustainable closed-loop product lifecycle. Component systems such as batteries, fuel cells, and electric motors provide large opportunity for impact where increased specific power, energy and reliability could be achieved through improved thermal management and contribute to improved aircraft efficiency and reduced emissions. Specifically, this proposal will target the enhancement of electric motors for aircraft propulsion through the development of multifunctional high thermal conductivity bobbins that extract, store, and redistribute the generated heat. In electric motors, bobbins are the permanent containers for the retention of coiled wire shapes and rigidity, and enable easier assembly of the windings into or onto the magnetic core. Given that these coils are the greatest source of heating within the stator and typically within the whole electric motor, efficient thermal management through the bobbin is critical to motor performance. 

Based on a study for NASA electrified aircraft propulsion (EAP) electric motor design, the stator winding thermomechanical stress is a more significant limiting factor for electric motors than thermochemical aging of the insulation [2]. For this reason, cooling strategies and technologies that reduce thermally induced stator coil mechanical stress are needed to advance the achievable performance of EAP motors. One path forward to achieve reduced coil mechanical stress is through an in-slot direct cooling design [3]. Additionally, a recent study at NASA GRC leveraged a multi-physics design optimization model to demonstrate mass reduction achieved with an in-slot design relative to a water-jacket design, as well as increased motor efficiency by incorporating a bobbin with increased thermal conductivity [4].  

Motivated by these findings, we propose to leverage thermally conductive electrically insulative multi-material designs to advance electric motor state-of-the-art through enhanced thermal management capabilities and reduced thermo-mechanical stress. Multi-material including ceramics, high-performance composites, alumina-filled Polyetherketoneketone (PEKK), carbon-reinforced Polyetherimide (ULTEM), Silicon Carbide, and Boron Nitride are prime candidates demonstrating desired properties for this application. Combined with in-house additive manufacturing capabilities and prior success 3D printing multi-materials [5, 6, 7], designs incorporating complex geometry, cooling channels, or reduced weight could also be achieved. This is especially beneficial with fabricating materials that are difficult to machine through traditional methods and could provide new avenues for the application of these materials. Moreover, thermal storage materials such phase change materials (PCM) can be integrated into the bobbins design to store the extracted heat from the motor wiring and then recycle and use the stored thermal energy elsewhere in the aircraft. Additionally, high thermal conductivity interface coatings which facilitate increased thermal extraction from the coil winding to bobbin could be also investigated.  

Although there has been plenty of work in motor design for propulsion, there has not been a large focus on material development and thermal management for the bobbin component. In one study, a negative correlation with increasing bobbin thermal conductivity and decreased bobbin temperature, achieved through injected molded plastics with fillers, was demonstrated [8]. Another investigation found similar results for a direct winding heat exchanger design [9]. Research in this area is multi-faceted and has not fully explored the potential of thermally conductive electrically insulative multi-materials, where polyamides and glass-fiber reinforcement have been the common materials currently used [10, 11]. Therefore, an opportunity for fabricating an electric motor with improved efficiency is provided by developing a bobbin with increased thermal conductivity for enhanced thermal management. This design should also balance a reduced mass and provide sufficient reduction in thermo-mechanical stresses for improved and reliable performance. Overall, the enhanced efficiency of electric motors and the reduction of power losses due to excess heat will expand the capabilities of electrified aircraft and UAM while increasing sustainability and durability. Furthermore, thermoplastics such as PEKK and ULTEM provide an opportunity for further mitigating waste and emissions through recycling, as they can be recovered, remelted, and reused for fabrication in a closed-loop cycle for green aviation.  

 

Several milestones are anticipated for this work: 

Identify thermally conductive electrically insulative multi-material architecture for bobbin fabrication (12/2023) 

Design and develop processing conditions for successful multi-material additive manufacturing (5/2024) 

Evaluate multi-material composite thermal and thermomechanical properties under simulated operational environmental conditions (7/2024) 

Fabricate proto-type components using additive manufacturing approaches (9/2024) 

This work should be evaluated on the successful fabrication of a bobbin as well as its thermal management capability, where increased thermal conductivity and reduced maximum bobbin temperature will demonstrate improved performance relative to a baseline design. Additionally, the developed bobbin’s ability to extract heat will be measured with the use of customized experimental setup. 

 

Upon successful fabrication of a thermally conductive electrically insulative bobbin, next steps could include further material development and incorporating fabricated components in a motor prototype. A full evaluation of enhanced thermal management for an enhanced motor and a baseline motor could be conducted for comparison, for instance at NASA AFRC or at GRC with small motor test facilities established under CAMIEM. Additionally, more complex components and improved integration within the electric motor could be investigated and tests conducted to determine performance gains over the baseline motor. This could include consolidating multiple components into a single manufacturing step, such as 3d printing a bobbin with copper coils simultaneously. This could result in reduced number of parts, reduced failure points, and reduced weight. There may also be opportunities for transition and collaboration with other NASA projects such as testing with the in-slot cooling rig being constructed under RVLT or the statorette heating cooling rig at GRC. At a later stage this could also involve identifying an opportunity for an in-flight test such as with the sustainable flight demonstrator project. Upon successful demonstration, this technology could also be transferred to engine companies.  

 

With the array of in-house additive manufacturing capabilities available, we are able to 3D print even the highest-performance high-temperature materials available on the market and do not anticipate any feasibility issues. However, if issues do arise, fabrication could be outsourced to local vendors. If there is an issue regarding the chosen thermally conductive electrically insulative material, whether its printability or performance, alternative materials could be used for fabrication. If the entire approach was deemed infeasible, alternative thermal management solutions could be explored. Battery housings and heat sinks leveraging these materials could be fabricated to assist with the prevention and mitigation of thermal runaway events. This is of critical importance for the adoption of electrified aircraft for green aviation and could provide both thermo-mechanical robustness alongside weight savings and increased power density. Additionally, the fabrication of heat exchangers with multifunctional materials for extreme environments could serve to provide enhanced thermal management capability alongside improved reliability and performance. A novel design incorporating lightweight high-performance materials could also be fabricated through additive manufacturing and contribute to weight reduction of the aircraft. 

References 

Airbus. ""Global Market Forecast."" Airbus. Accessed October 10, 2023. https://www.airbus.com/en/products-services/commercial-aircraft/market/global-market-forecast. 

T. F. Tallerico, ""NASA Reference Motor Designs for Electric Vertical Takeoff and Landing Vehicles,"" in AIAA Propulsion and Energy 2021 Forum, Virtual, 2021. 

B. Silwal, A. H. Mohamed, J. Nonneman, M. De Paepe and P. Sergeant, ""Assessment of Different Cooling Techniques for Reduced Mechanical Stress in the Windings of Electrical Machines,"" Energies 2019, 23 May 2019. 

Tallerico, Thomas, and Andrew D. Smith. ""Combined Electromagnetic and Thermal Design Optimization Studies of in-Slot Cooling for UAM Electric Motors."" In 2022 IEEE Transportation Electrification Conference & Expo (ITEC), pp. 74-79. IEEE, 2022. 

Vakharia, Ved S., Hunter Leonard, Mrityunjay Singh, and Michael C. Halbig. ""Multi-Material Additive Manufacturing of High Temperature Polyetherimide (PEI)–Based Polymer Systems for Lightweight Aerospace Applications."" Polymers 15, no. 3 (2023): 561. 

Ranaiefar, Meelad, Mrityunjay Singh, Jonathan A. Salem, Surojit Gupta, and Michael C. Halbig. “Additive Manufacturing and Characterization of Metal-Reinforced Polylactic Acid and Acrylonitrile Butadiene Styrene Composites”. ICACC’23 [Presentation] (January 2023). Available on NASA STRIVES: 20230000956. 

Ranaiefar, Meelad, Amjad Almansour, Michael Halbig, Mrityunjay Singh, and Zachary Tuchfeld. “Multi-Material Additive Manufacturing of Advanced Materials and Components”. The Ohio State University Advanced Materials and Manufacturing Interchange Meeting, [Presentation] (May 2023). Available on NASA STRIVES: 20230007585. 

Sundararaman, Saikrishna, and Ray Szparagowski. ""Thermally Conductive Electrically Insulative (TCEI) Materials for E-Motors."" SAE International Journal of Advances and Current Practices in Mobility 3, no. 2021-01-0222 (2021): 2633-2641. 

Sixel, William, Mingda Liu, Gregory Nellis, and Bulent Sarlioglu. ""Cooling of windings in electric machines via 3-D printed heat exchanger."" IEEE Transactions on Industry Applications 56, no. 5 (2020): 4718-4726. 

Woodworth, Andrew, William Sixel, Tiffany Williams, Witold K. Fuchs, Marisabel Kelly, Diana Santiago, Kristina M. Vailonis, Evan J. Pineda, Baochau N. Nguyen, and Paria Naghipour. ""Scaling Electric Machines to a Megawatt and Material Options."" In AIAA AVIATION 2023 Forum, p. 4507. 2023. 

Mueller Ahlhorn. ""Bobbins for the Electrical Industry."" Accessed October 10, 2023. https://www.mueller-ahlhorn.com/en/products-materials/Products/bobbins-for-the-electrical-industry/ ",,
Integrated Catalytic Converters for Air Vehicle NOx Emission Control,TTT,Green Aviation Solicitation,2023,,,"Title: Integrated Catalytic Converters for Air Vehicle NOx Emission Control 
This work has the ambition to design a catalytic converter for NOx emission control using computational methods targeted for an aircraft engine environment. Uncontrolled emission of nitrogen oxides (NOx), formed as side-products during combustion of jet fuel, is a global environmental and health hazard.[1] Notably, NOx causes acid rain, smog, and eutrophication. In addition, NOx indirectly contributes to global warming through a complex reaction network that generates the greenhouse gases ozone and nitrous oxide. The adverse influence is significant as the effective global warming potential of NOx is estimated to be 30-35 times that of CO2 over a 20 years perspective.[2] Unfavorably for aircrafts, the harm increases when NOx is emitted at higher altitudes. While emission of NOx from automobile combustion engines has been successfully reduced using catalytic converters, the corresponding emission control is lacking for air vehicles. A key obstacle to the implementation of traditional catalytic converters in aircraft is its negative impact on the performance of the engine. For efficient NOx conversion, the exhaust gas needs extended contact time with the catalyst’s surface by passing the gas over a catalyst-impregnated filter bed. For aircraft, such an arrangement would result in decreased jet thrust – thus reducing engine performance to an unacceptable level. Leveraging the years of industrial research on NOx emission control for automobiles, this project aims to outline pathways toward alternative designs of catalytic converters for state-of-the-art jet engines. Furthermore, the aspiration is to enable codesign of future engines with the vision of power-efficient and truly carbon-neutral jet aircraft of tomorrow.  Such aircraft of the future will be optimized for both performance and emissions reduction. In this project, we will tailor, using advanced computational methods, novel catalysts targeted for aircraft engine environments and NOx reduction. As far as the author is aware, this modeling effort (albeit state-of-the-art in catalysis research) is a novel direction for catalytic converters designed for aircraft that can open up multiple future avenues in green aviation research. 

The overall objective of the proposed project is to lay the theoretical foundation for the design of an integrated catalytic converter for high velocity airflows. The converter solution will be optimized for aircraft conditions and will be applied as a surface coating on components within the jet engine (see Figure 1). This would result in minimal influence on the propulsion with the aim to reduce a significant fraction (1-5%) of the NOx emission. Hence, the converter will be designed to balance engine performance and emission reduction. With a combined annual NOx emission from global air traffic of 106 ton or 30×106 ton CO2,eq (i.e., same order of magnitude as the total energy related CO2 emission of a mid-sized US state),[1,3,4] removing even a small portion of the total NOx emission would have a large beneficial impact on both global health and global warming. Additionally, the modeling framework developed here will be specifically developed to have flexibility to address NOx abatement in other engine systems to allow for design of future jet engine solutions approaching 100% greenhouse gas neutrality.    

We will leverage established modeling methods used for identification of the so-called “three way catalyst” (Pt) used for NOx emission control in automobiles.[5,6] We aim to recast these established models in the context of air vehicles that operate at different conditions and have altered design criteria compared to automobiles. In particular, it is believed that the optimal catalyst could vary within the combustion chamber and turbine along with variations in local temperature, pressure, and gas velocity. In addition, materials durability (including high-temperature stability) and expense will be auxiliary design criteria allowing for a trade-off between catalysts performance and cost. 

",,
Health Monitoring for Mechanical and Electrochemical Degradation in Structural Batteries,TTT,Green Aviation Solicitation,2023,,,"Title: Health Monitoring for Mechanical and Electrochemical Degradation in Structural Batteries.   
Batteries are critical for powering future zero emissions vehicle concepts in the automotive, aerospace (e.g., urban air mobility, hybrid/all electric aircraft), industrial (e.g., autonomous drones), and consumer sectors (Figure 1 ​[1]​).  Recently, “massless” structural batteries have emerged that are capable of both supporting structural loads and storing energy​ [2]​.  They are called “massless” because they store energy in structures already needed in aircraft designs, thus no extra mass is required for separate battery storage.  The energy density and multifunctionality of structural batteries will allow a paradigm shift for electrical vehicle designs, leading to increased range and performance as well as a new generation of vehicle designs not possible using conventional batteries.  For these multifunctional battery structures to achieve their full potential, they must be used without external battery management systems.  At the same time, their safety must be guaranteed, especially for manned vehicle applications.  The proposed work aims to address safety assurances for future massless structural batteries by nondestructively studying mechanical and electrochemical degradation mechanisms in these newly developed batteries.  The ultimate goals of this work are (a) to build an understanding of the degradation mechanisms of massless structural batteries and (b) to establish and demonstrate inspection techniques that can be applied during operation to inform maintenance actions and grounding of aircraft before catastrophic failure.     

Health monitoring for batteries is important for their safe operation, especially in power-hungry electric aircraft where batteries are stressed through high discharge rates and extreme operating environments.  Battery health monitoring is a new field, with much of the focus in the research community on commercial lithium-ion battery chemistries and their state of health (SOH) and state of charge (SOC) (e.g., ​[3]​, ​[4]​).  Measurements of the SOC and SOH are meant to determine when batteries need to be changed, not on whether they are safe for operation.  On the other hand, NASA’s recent work under the CAS SPARRCI program sought to monitor the internal structure of batteries using resonance-based and guided wave ultrasonic methods ​[5]​.  The developments under SPARRCI included successful monitoring of structural resonance changes in lithium metal batteries during the electrochemical cycling process (Figure 2), as well as a demonstration of in-situ application of the developed techniques.  The resonance-based approaches identified under SPARRCI allow through-thickness structure and material property changes to be monitored, and guided wave approaches allow broad area coverage and localization of damage.  

In the composite massless batteries that will be explored, the resonance-based methods (local) and guided wave methods (long range) will be applied to allow multi-scale monitoring of battery and structural health during mechanical and electrochemical cycling.  The work will leverage expertise developed in ultrasonic nondestructive evaluation (NDE) of battery health within in LaRC’s Nondestructive Evaluation Sciences Branch (NESB) as well as composite and battery fabrication expertise in LaRC’s Advanced Materials and Processing Branch.   

 

",,
Persistent Solar Power Station,TTT,Green Aviation Solicitation,2023,,,"Title: Persistent Solar Power Station 
We are proposing a persistent high-altitude long-endurance (HALE) solar power station. The idea involves an airborne solar panel carried by two HALE aircraft operating at high altitude over a long duration. This is illustrated in the following figure. The electric propulsion on the HALE aircraft is powered by the energy harvested by the solar panel. The power provided by the solar panel can be beamed to UAM aircraft, enabling the aircraft to extend ranges and operate with more passenger capacity. The power can also be beamed to a ground station for energy storage. 

NASA Helios was a solar powered UAV designed by Aerovironment [1]. The first flight ended in a mishap. Subsequent investigations attributed one of the causes of the mishap to ""nonlinear stability and control problem involving complex interactions among the flexible structure, unsteady aerodynamics, flight control system, propulsion system, the environmental conditions, and vehicle flight dynamics."" As a result, the accident investigation board made several recommendations one of which is to ""Develop more advanced, multidisciplinary (structures, aeroelastic, aerodynamics, atmospheric, materials, propulsion, controls, etc) “time-domain” analysis methods appropriate to highly flexible, “morphing” vehicles."" 

The goal of the Helios was largely unfulfilled. If successful, it could have heralded in a new aerospace infrastructure program that could have wide ranging applications from providing power to internet services anywhere in the world.  ",,
Thrust Generation in Electrified Aircraft Heat Exchanger Ducts,TTT,Green Aviation Solicitation,2023,,,"Title: Thrust Generation in Electrified Aircraft Heat Exchanger Ducts 
Large electrified aircraft produce orders of magnitude more electronics heat than even the most advanced electrical systems on current aircraft. More heat means more drag on ram-air heat exchangers (HXs), which are the existing state of the art for aircraft heat rejection. Ram-air HXs sized for electrified aircraft could create so much drag and weight that they could negate the benefits from electrification [1,2]. A HX that not only eliminates drag but creates thrust would solve this problem. 

There has been a renewed interest in thrust-producing HXs via the Meredith effect [3,4,5]. Meredith effect HXs were previously used in some WWII-era piston engine aircraft, like the P-51 Mustang. Current passenger aircraft do not utilize these designs because jet engines naturally have higher air cooling. Additionally, engine oil heat is typically used to pre-heat the fuel or is rejected via a surface heat exchanger installed in the bypass duct rather than in a standalone duct. However large electrified aircraft likely cannot rely completely on surface (or outer mold line) heat exchangers and will need to reject heat via a pumped-fluid loop to a ram-air heat exchanger [6,7]. The majority of proposed electrified aircraft architectures utilize a single-phase pumped fluid loop [8] operating at temperatures up to 200 °C, which makes them an ideal candidate for a Meredith effect HX. The recent analytical work has shown the potential for thrust production in electrified aircraft HX ducts, however, to date there is little to no evidence that any designs have been built or tested. 

The proposed work would determine the feasibility of a thrust-producing HX for a hybrid-electric aircraft in realistic operating conditions, evaluating potential thrust vs. rejection temperature. This would involve sizing and optimization of the ducted HX at each rejection temperature. If thrust can be produced at a reasonable rejection temperature, a sub-scale HX core would be built and tested at design and off-design operating conditions to measure generated thrust. The HX itself would be of the microchannel type, which have been shown to have higher performance and lower drag and compared to the typical plate-fin heat exchangers used in aviation [9]. The HX would utilize additive manufacturing techniques, which can create the complex microchannel structures more easily and affordably then traditional chemical etching and diffusion bonding processes. HX materials to be investigated include metals as well as plastics, which have recently shown potential benefits in a number of different heat exchanger applications [10,11]. If successful, this work would demonstrate light-weight and zero net drag thermal management which is an enabling technology for NASA’s long-term goals of net-zero carbon emissions from aviation. 

 
",,
Ion Propulsion Systems and Advanced Multi-Sensor Perception for Unmanned Aerial Systems: Leveraging Space Exploration Advances for Sustainable Terrestrial Aviation,TTT,Green Aviation Solicitation,2023,,,"Title: Ion Propulsion Systems and Advanced Multi-Sensor Perception for Unmanned Aerial Systems: Leveraging Space Exploration Advances for Sustainable Terrestrial Aviation 

The rapid advancement of unmanned aerial systems (UAS) technology has revolutionized the aviation industry. However, traditional UAS propulsion mechanisms pose significant limitations, including noise pollution, low energy efficiency, and limited maneuverability. These issues are especially evident in residential settings and sensitive environments where noise and emissions are disruptive. While space exploration has widely adopted ion propulsion, terrestrial applications, particularly in UAS, remain under-explored due to challenges like atmospheric drag. Nonetheless, the promise of silent operations, zero emissions, and minimized waste offers a tantalizing prospect for green aviation. Advances by organizations like Undefined Technologies² and MIT³ have proven the viability of IPS for Earth-bound applications. 

This project aims to develop a sustainable alternative to conventional UAS propulsion mechanisms by integrating ion propulsion systems (IPS), a technology deeply rooted in space exploration, into UAS. This innovative approach promises significant advancements in UAS propulsion, including reduced noise and emissions, enhanced energy efficiency, and increased maneuverability. The project will begin with a comprehensive literature review to assess the current state of the art in ion propulsion systems (IPS) technology and its potential applicability to UAS. This review will inform the development of a specialized sensor system and the integration of a deep learning system directly into the IPS. This innovative approach will ensure that UAS not only benefit from sustainable propulsion but also gain from superior diagnostics and efficiency. In addition, the project will incorporate a Multi-Sensor Perception System (MsPs) that uses neuromorphic-computing-based Deep Neural Network (DNN) to provide real-time feedback on the performance of the IPS and develop advanced diagnostic and predictive maintenance algorithms. 

The successful integration of IPS into UAS is expected to have a profound impact on UAS applications across multiple sectors. By significantly reducing noise and emissions, and enhancing energy efficiency and maneuverability, IPS-powered UAS will open up new possibilities for UAS operations in residential zones and other environmentally sensitive areas. This project has the potential to revolutionize the UAS industry by addressing the key limitations of traditional UAS propulsion mechanisms. The successful integration of IPS into UAS will herald a new era of sustainable, efficient, and maneuverable UAS operations. 

In addition to the aforementioned benefits, IPS-powered UAS could also offer significant advantages in terms of cost and safety. IPS systems are relatively inexpensive to manufacture and operate, and they pose a lower risk of fire or explosion than traditional UAS propulsion systems. These factors make IPS an attractive option for a wide range of UAS applications, including commercial deliveries, disaster relief, and environmental monitoring. 

",,
